Grouping_Variable,Group_1,Group_2,Sample_Size_1,Sample_Size_2,Test_Type,U_Statistic,P_Value,Significant,Significance_Level
Geographic Location,absent,Germany,131,19,Mann-Whitney U,334.0,5.298586444922532e-08,True,***
Geographic Location,absent,Poland,131,92,Mann-Whitney U,799.5,3.8192794691808925e-29,True,***
Geographic Location,absent,Switzerland,131,73,Mann-Whitney U,2694.0,2.0621352778727932e-08,True,***
Geographic Location,absent,India,131,6,Mann-Whitney U,321.0,0.4133339882192796,False,ns
Geographic Location,absent,USA,131,71,Mann-Whitney U,2070.5,6.500824045475445e-12,True,***
Geographic Location,absent,China,131,37,Mann-Whitney U,530.0,2.7899736190306266e-14,True,***
Geographic Location,absent,Argentina,131,8,Mann-Whitney U,42.5,3.4948349340091952e-06,True,***
Geographic Location,absent,Australia,131,29,Mann-Whitney U,978.5,1.1986656871281821e-05,True,***
Geographic Location,absent,Portugal,131,6,Mann-Whitney U,91.5,0.0006850706994532294,True,***
Geographic Location,absent,Spain,131,5,Mann-Whitney U,66.0,0.0011855538994150036,True,**
Geographic Location,absent,Russia,131,5,Mann-Whitney U,189.5,0.08587813041219877,False,ns
Geographic Location,Germany,Poland,19,92,Mann-Whitney U,371.5,6.836687660537035e-05,True,***
Geographic Location,Germany,Switzerland,19,73,Mann-Whitney U,989.0,0.002104268423014576,True,**
Geographic Location,Germany,India,19,6,Mann-Whitney U,105.0,0.001634359923913611,True,**
Geographic Location,Germany,USA,19,71,Mann-Whitney U,889.5,0.029365734007691,True,*
Geographic Location,Germany,China,19,37,Mann-Whitney U,201.0,0.008764326938977473,True,**
Geographic Location,Germany,Argentina,19,8,Mann-Whitney U,16.5,0.0014610747574571458,True,**
Geographic Location,Germany,Australia,19,29,Mann-Whitney U,330.5,0.23631439235357454,False,ns
Geographic Location,Germany,Portugal,19,6,Mann-Whitney U,36.5,0.19409815477589587,False,ns
Geographic Location,Germany,Spain,19,5,Mann-Whitney U,31.5,0.25961577566779304,False,ns
Geographic Location,Germany,Russia,19,5,Mann-Whitney U,72.5,0.07100659004686909,False,ns
Geographic Location,Poland,Switzerland,92,73,Mann-Whitney U,5751.0,1.6114860730754961e-15,True,***
Geographic Location,Poland,India,92,6,Mann-Whitney U,540.0,7.50908550336069e-05,True,***
Geographic Location,Poland,USA,92,71,Mann-Whitney U,5330.0,3.5596427368247293e-12,True,***
Geographic Location,Poland,China,92,37,Mann-Whitney U,1206.5,0.00939003692925551,True,**
