Grouping_Variable,Group,Sample_Size,Mean,Median,Q1,Q3,Standard_Deviation,Min,Max
Geographic Location,absent,131,3.786259541984733,4.0,0.0,4.0,4.1314427060533365,0.0,18.0
Geographic Location,Germany,19,10.368421052631579,12.0,5.5,13.0,4.556204864806136,4.0,22.0
Geographic Location,Poland,92,13.978260869565217,14.0,13.0,15.25,3.3165535439983387,0.0,21.0
Geographic Location,Switzerland,73,6.917808219178082,4.0,4.0,10.0,4.462180266455336,4.0,18.0
Geographic Location,India,6,4.0,4.0,4.0,4.0,0.0,4.0,4.0
Geographic Location,USA,71,8.084507042253522,5.0,4.0,10.0,5.204944774837225,4.0,21.0
Geographic Location,China,37,16.594594594594593,19.0,10.0,21.0,8.716121935379473,4.0,34.0
Geographic Location,Argentina,8,15.25,14.0,14.0,15.75,2.680951323690902,12.0,21.0
Geographic Location,Australia,29,10.241379310344827,4.0,4.0,19.0,8.973736285688876,0.0,26.0
Geographic Location,Portugal,6,11.833333333333334,15.0,7.5,15.0,5.241395064505462,4.0,17.0
Geographic Location,Spain,5,14.4,19.0,11.0,19.0,6.053098380168622,4.0,19.0
Geographic Location,Russia,5,6.0,4.0,4.0,5.0,3.521363372331802,4.0,13.0
Subcontinent,Unknown,136,3.801470588235294,4.0,0.0,4.0,4.056258513887878,0.0,18.0
Subcontinent,Western Europe,99,7.686868686868687,4.0,4.0,12.5,4.885861822691431,4.0,22.0
Subcontinent,Eastern Europe,98,13.775510204081632,14.0,13.0,15.0,3.5269533949140692,0.0,21.0
Subcontinent,Southern Asia,7,4.0,4.0,4.0,4.0,0.0,4.0,4.0
Subcontinent,Northern America,75,8.04,5.0,4.0,10.0,5.231800200058612,4.0,21.0
Subcontinent,Eastern Asia,40,15.675,18.0,4.0,21.0,8.984396195627172,4.0,34.0
Subcontinent,South America,9,16.22222222222222,14.0,14.0,18.0,3.7350525142159134,12.0,24.0
Subcontinent,Australia and New Zealand,29,10.241379310344827,4.0,4.0,19.0,8.973736285688876,0.0,26.0
Subcontinent,Southern Europe,14,12.714285714285714,15.0,6.5,16.75,5.598833697790122,4.0,19.0
Subcontinent,Northern Asia,5,6.0,4.0,4.0,5.0,3.521363372331802,4.0,13.0
Subcontinent,Northern Europe,8,7.375,4.5,4.0,7.5,5.406882188470542,4.0,20.0
Continent,Africa,8,4.125,4.0,4.0,4.25,0.5994789404140899,3.0,5.0
Continent,Unknown,136,3.801470588235294,4.0,0.0,4.0,4.056258513887878,0.0,18.0
Continent,Europe,219,10.721461187214611,12.0,4.0,14.0,5.33191011222438,0.0,22.0
Continent,Asia,55,13.054545454545455,13.0,4.0,20.5,8.971506778925015,4.0,34.0
Continent,North America,75,8.04,5.0,4.0,10.0,5.231800200058612,4.0,21.0
Continent,South America,9,16.22222222222222,14.0,14.0,18.0,3.7350525142159134,12.0,24.0
Continent,Oceania,29,10.241379310344827,4.0,4.0,19.0,8.973736285688876,0.0,26.0
Collection Date,2017,76,8.394736842105264,5.0,4.0,13.0,5.964983229712212,0.0,25.0
Collection Date,absent,160,4.29375,4.0,0.0,4.0,4.23762444507533,0.0,19.0
Collection Date,2022,19,6.578947368421052,4.0,4.0,6.0,4.815717572083315,4.0,19.0
Collection Date,2018,35,13.342857142857143,14.0,10.0,16.5,6.23328786043292,4.0,26.0
Collection Date,2020,21,8.476190476190476,4.0,4.0,15.0,6.925584366742036,4.0,24.0
Collection Date,2019,49,11.36734693877551,13.0,4.0,14.0,5.7345849361429435,4.0,28.0
Collection Date,2021,34,13.764705882352942,15.5,4.0,20.5,8.482018431847498,4.0,34.0
Collection Date,2015,22,9.590909090909092,10.0,4.0,14.0,5.314295394235259,4.0,19.0
Collection Date,2023,14,5.5,4.0,4.0,4.75,2.7710235344672607,4.0,12.0
Collection Date,2016,38,11.710526315789474,13.0,6.0,14.75,5.5956180917084435,4.0,20.0
Collection Date,2009,12,13.416666666666666,15.5,10.75,17.25,5.894324011755339,4.0,21.0
Collection Date,2011,7,15.428571428571429,14.0,14.0,15.5,2.498979383505129,14.0,21.0
Collection Date,2012,7,12.714285714285714,13.0,13.0,14.5,3.806546455564065,4.0,17.0
Collection Date,2014,16,11.375,9.5,4.0,15.0,7.959860237466485,4.0,28.0
Collection Date,2013,7,12.714285714285714,13.0,11.0,14.5,3.325841921949376,7.0,18.0
Collection Date,2010,6,16.0,16.0,13.25,18.75,3.559026084010437,11.0,21.0
